cz,lat,lon
302,36.030422,-84.188034
500,36.240593,-79.647057
900,35.104691,-80.639771
1400,35.005943,-79.398834
1701,35.857998,-78.821869
1900,35.128719,-77.2547
2000,36.530796,-76.344498
2400,37.41399,-77.402863
2500,37.136818,-76.624733
3003,32.290195,-89.956741
3300,30.073698,-90.1642
3500,30.56591,-91.060181
3800,30.260479,-92.098587
4200,34.826122,-92.464203
5202,34.974979,-89.839859
5600,36.210129,-86.458786
6700,28.163361,-82.529533
7000,25.556257,-80.578949
7100,27.005339,-80.670662
7400,28.610998,-81.571587
7600,30.395037,-81.781097
8100,33.965111,-81.169746
8202,32.967331,-80.243126
8300,34.467064,-82.449097
9100,33.82354,-84.216393
10700,33.575146,-86.655159
10900,30.599052,-86.754395
11001,31.272524,-87.844276
11302,39.340847,-76.661301
11304,38.820915,-77.288521
11600,42.767067,-83.351334
12200,43.150429,-85.768028
12501,40.018257,-84.137047
12701,39.001617,-84.355164
13101,38.282413,-85.706459
13501,41.575287,-83.655869
13600,41.626671,-86.398834
14100,41.004303,-85.160904
14200,39.684223,-86.088867
14900,41.256634,-87.254478
15000,40.551933,-81.534821
15200,41.401104,-81.370049
15900,39.980782,-82.862198
16300,40.416767,-79.823143
16400,41.066891,-80.573051
16500,41.695713,-79.605911
17700,43.042351,-75.876823
18000,42.936638,-77.806435
18600,42.792892,-73.836975
18800,41.307217,-75.653671
19000,40.732143,-75.510551
19100,40.378117,-76.210457
19200,40.267769,-77.146286
19300,41.671215,-74.24498
19400,40.842888,-73.768227
19500,40.102348,-74.168976
19600,40.756172,-74.434929
19700,39.788887,-75.113518
20100,44.32737,-70.084549
20401,41.675735,-71.364502
20500,42.233742,-71.062187
20600,43.31115,-71.222084
20800,42.345627,-72.588661
20901,41.588844,-72.650284
21501,45.036266,-93.175774
22500,44.096764,-88.703178
23100,43.358353,-89.765823
24000,42.651215,-88.373161
24100,43.202145,-88.312973
24300,41.837543,-88.166115
24400,42.062866,-89.347473
24701,38.537601,-90.717583
27501,41.639317,-93.950562
28202,41.291721,-96.07785
28401,38.583549,-105.1557
28800,40.381741,-104.57909
28900,39.650547,-105.10181
29502,38.87402,-94.42749
30402,36.337517,-95.988533
30601,31.845333,-106.17846
31201,30.268185,-97.589989
31301,29.253206,-98.489357
31600,26.312721,-98.06282
32000,29.959728,-95.477951
33000,32.780891,-97.699974
33100,32.944263,-96.742561
33803,35.475925,-97.339226
34701,21.426126,-158.03586
34901,35.041893,-106.83559
35001,33.391621,-111.52111
35100,31.803528,-110.63289
35801,43.508282,-116.16531
36000,39.679012,-112.31461
36100,40.810738,-111.82454
37000,37.609226,-120.46731
37100,35.296024,-118.68334
37200,36.515808,-119.72832
37400,38.633232,-120.76672
37500,36.876335,-121.67609
37800,37.932205,-122.26947
37901,36.997452,-115.61346
38000,32.904617,-117.063
38300,34.02272,-117.16206
38601,47.771835,-117.02538
38801,45.64135,-122.58557
38901,44.695087,-123.09667
39400,47.53764,-122.52729
